,Category,NR,WR,SR,ER,NER,Total,Date
1,Peak Shortage (MW),0,0,0,0,53,718,01.05.23
2,Energy Met (MU),979,1198,926,453,49,515,01.05.23
3,Hydro Gen (MU),181,18,51,55,15,147,01.05.23
4,Wind Gen (MU),5,50,30,-,-,5.99,01.05.23
5,Solar Gen (MU),124.84,54.8,103.93,4.53,1.17,0,01.05.23
6,Energy Shortage (MU),0.51,0,0,0.33,1.19,-5.5,01.05.23
7,Schedule(MU),167.1,-143.2,77.2,-99.4,-1.7,-5.5,01.05.23
8,Actual(MU),141.6,-126.3,93.8,-113,-0.4,39582,01.05.23
9,O/D/U/D(MU),-25.5,17,16.5,-13.6,1.3,56824,01.05.23
10,Central,7857,10831,4458,2080,425,2030,01.05.23
11,State,12640,14040,5304,1460,241,59,01.05.23
12,Coal,514,1245,575,592,11,718,01.05.23
13,Lignite,24,22,43,0,0,101,01.05.23
14,Hydro,181,18,51,55,15,184487,01.05.23
15,Nuclear,29,32,69,0,0,890,01.05.23
0,Demand Met during Evening Peak hrs(MW),53325,47940,38779,19566,2523,4114,01.06.18
1,Peak Shortage (MW),1262,1316,0,0,95,734,01.06.18
2,Energy Met (MU),1258,1193,922,445,45,276,01.06.18
3,Hydro Gen (MU),235,29,54,67,18,219,01.06.18
4,Wind Gen (MU),19,58,119,----------,----------,4.62,01.06.18
5,Solar Gen (MU),17.01,18.61,56.75,0.69,0,0,01.06.18
6,Energy Shortage (MU),16.4,12.7,0,0,0.8,-2.7,01.06.18
7,Schedule(MU),233,-171.7,16.8,-70.6,-1.9,-2.7,01.06.18
8,Actual(MU),245,-167.8,-5.6,-64.1,-2.6,29175,01.06.18
9,O/D/U/D(MU),12,3.9,-22.4,6.5,-0.7,38189,01.06.18
10,Central,4653,12192,7762,2010,136,2725,01.06.18
11,State,6735,16577,4083,5115,50,100,01.06.18
12,Thermal (Coal & Lignite),683,1195,606,470,11,736,01.06.18
13,Hydro,235,29,56,67,18,109,01.06.18
14,Nuclear,31,30,46,0,0,205746,01.06.18
15,"Gas, Naptha & Diesel",40,56,18,0,22,201,01.06.18
0,Demand Met during Evening Peak hrs(MW),56432,50970,43386,19749,2408,4700,01.06.19
1,Peak Shortage (MW),1107,0,0,0,87,759,01.06.19
2,Energy Met (MU),1342,1253,1027,445,45,587,01.06.19
3,Hydro Gen (MU),306,23,47,67,15,278,01.06.19
4,Wind Gen (MU),18,89,90,----------,----------,1.65,01.06.19
5,Solar Gen (MU),27.84,24.88,81.61,2.26,0.03,0,01.06.19
6,Energy Shortage (MU),15.8,0,0,0,1,-0.1,01.06.19
7,Schedule(MU),223.1,-268.3,75.9,-30.8,-0.2,-0.1,01.06.19
8,Actual(MU),240.5,-268.5,89.7,-61,-3,23416,01.06.19
9,O/D/U/D(MU),17.4,-0.1,13.8,-30.2,-2.7,35831,01.06.19
10,Central,4096,11771,5762,950,327,3035,01.06.19
11,State,7050,11925,4760,4190,50,93,01.06.19
12,Coal,659,1295,576,456,9,759,01.06.19
13,Lignite,25,18,45,0,0,143,01.06.19
14,Hydro,306,23,47,67,15,161964,01.06.19
15,Nuclear,27,25,58,0,0,403,01.06.19
0,Demand Met during Evening Peak hrs(MW),43257,40809,35541,17237,2486,3596,01.06.20
1,Peak Shortage (MW),489,0,0,0,82,703,01.06.20
2,Energy Met (MU),945,1026,861,374,42,207,01.06.20
3,Hydro Gen (MU),290,41,76,102,17,147,01.06.20
4,Wind Gen (MU),19,44,51,-,-,5.6,01.06.20
5,Solar Gen (MU),36.67,23.62,70.54,4.81,0.03,0,01.06.20
6,Energy Shortage (MU),10,0,0,0,1.7,2.3,01.06.20
7,Schedule(MU),184,-184.7,112.8,-108.6,-3.5,2.3,01.06.20
8,Actual(MU),162,-173.1,124.5,-108.2,-6.4,36705,01.06.20
9,O/D/U/D(MU),-22,11.1,11.8,0.4,-2.9,54316,01.06.20
10,Central,4895,19084,9362,1450,344,2303,01.06.20
11,State,17200,19770,10958,5146,11,42,01.06.20
12,Coal,353,964,409,418,10,703,01.06.20
13,Lignite,19,14,37,0,0,129,01.06.20
14,Hydro,290,41,76,102,17,176038,01.06.20
15,Nuclear,27,36,47,0,0,677,01.06.20
0,DemandMetduringEveningPeakhrs(MW),45778,46158,38154,18053,2713,3949,01.06.21
1,PeakShortage(MW),220,0,0,0,5,650,01.06.21
2,EnergyMet(MU),952,1164,938,431,49,166,01.06.21
3,HydroGen(MU),264,43,72,106,22,184,01.06.21
4,WindGen(MU),37,124,146,-,-,9.24,01.06.21
5,SolarGen(MU),47.23,36.86,106.03,4.96,0.11,0,01.06.21
6,EnergyShortage(MU),3.6,0,0,0,0.24,-4.3,01.06.21
0,Demand Met during Evening Peak hrs(MW),60274,58337,44556,23126,3106,-4.3,01.06.22
1,Peak Shortage (MW),773,0,320,353,0,32482,01.06.22
2,Energy Met (MU),1457,1413,1070,547,58,37577,01.06.22
3,Hydro Gen (MU),253,31,71,74,23,2709,01.06.22
4,Wind Gen (MU),28,153,169,-,-,74,01.06.22
5,Solar Gen (MU),108.84,51.31,114.26,4.57,0.45,650,01.06.22
6,Energy Shortage (MU),18.05,0,1.53,4.86,0.51,88,01.06.22
7,Schedule(MU),281.8,-183.7,0.6,-99.5,0.8,187100,01.06.22
8,Actual(MU),289.7,-177.7,-20.5,-96.2,-0.4,4356,01.06.22
9,O/D/U/D(MU),7.9,6,-21.1,3.3,-1.2,4390,01.06.22
10,Central,3283,12436,4938,2610,672,846,01.06.22
11,State,9170,12559,7601,1260,97,77,01.06.22
12,Coal,719,1333,587,604,15,301,01.06.22
13,Lignite,23,15,73,0,0,35.08,01.06.22
14,Hydro,253,31,71,74,23,0,01.06.22
15,Nuclear,24,33,57,0,0,-5.9,01.06.22
0,Demand Met during Evening Peak hrs(MW),56004,60964,48237,26609,3307,-5.9,01.06.23
1,Peak Shortage (MW),0,0,0,625,60,23029,01.06.23
2,Energy Met (MU),1170,1455,1160,607,66,39614,01.06.23
3,Hydro Gen (MU),252,45,57,70,10,3098,01.06.23
4,Wind Gen (MU),18,173,123,-,-,89,01.06.23
5,Solar Gen (MU),113.8,56.32,119.72,2.98,1.18,848,01.06.23
6,Energy Shortage (MU),0.1,1.3,0,6.26,1.39,119,01.06.23
7,Schedule(MU),122.5,-202.8,93,-31.8,19.1,212954,01.06.23
8,Actual(MU),81.6,-192.2,121,-33.3,22.1,10745,01.06.23
9,O/D/U/D(MU),-40.9,10.6,28,-1.5,3,5219,01.06.23
10,Central,3297,10591,5828,2250,434,758,01.06.23
11,State,6405,14696,3879,2360,265,125,01.06.23
12,Coal,716,1439,704,649,14,322,01.06.23
13,Lignite,19,13,40,0,0,124.28,01.06.23
14,Hydro,252,45,57,70,10,0,01.06.23
15,Nuclear,30,36,45,0,0,-8.1,01.06.23
0,Demand Met during Evening Peak hrs(MW),51848,44274,39142,19210,2599,-8.1,01.07.18
1,Peak Shortage (MW),1346,227,0,0,159,17302,01.07.18
2,Energy Met (MU),1170,1014,880,428,49,21885,01.07.18
3,Hydro Gen (MU),316,21,74,76,23,3938,01.07.18
4,Wind Gen (MU),4,57,96,----------,----------,80,01.07.18
5,Solar Gen (MU),13.97,18.29,55.79,0.78,0.01,758,01.07.18
6,Energy Shortage (MU),11.1,0,0,0,1.4,131,01.07.18
7,Schedule(MU),273.7,-260.7,69.6,-82.6,0.4,166502,01.07.18
8,Actual(MU),260.2,-265.5,75.5,-72.3,-1.1,4150,01.07.18
9,O/D/U/D(MU),-13.5,-4.8,5.9,10.3,-1.5,3820,01.07.18
10,Central,5752,13126,10032,445,118,649,01.07.18
11,State,6435,16220,9330,5755,50,86,01.07.18
12,Thermal (Coal & Lignite),521,1125,492,448,8,185,01.07.18
13,Hydro,316,21,75,76,23,21.66,01.07.18
14,Nuclear,30,29,45,0,0,0,01.07.18
15,"Gas, Naptha & Diesel",27,49,16,0,22,-7.2,01.07.18
0,Demand Met during Evening Peak hrs(MW),59498,41420,36707,19793,2739,-7.2,01.07.19
1,Peak Shortage (MW),1206,0,0,0,158,32866,01.07.19
2,Energy Met (MU),1447,988,879,444,53,43947,01.07.19
3,Hydro Gen (MU),350,7,34,90,22,2618,01.07.19
4,Wind Gen (MU),48,125,173,----------,----------,83,01.07.19
5,Solar Gen (MU),28.6,16.76,55.52,2.06,0.04,649,01.07.19
6,Energy Shortage (MU),11.7,0,0,0,1.1,128,01.07.19
7,Schedule(MU),309,-268.8,23.4,-56.4,-7.1,185941,01.07.19
8,Actual(MU),309.3,-285.5,25.4,-45.5,-3.4,400,01.07.19
9,O/D/U/D(MU),0.3,-16.7,2,11,3.7,4141,01.07.19
10,Central,4434,16900,7792,1525,56,659,01.07.19
11,State,4985,16838,8020,3300,50,261,01.07.19
12,Coal,642,1047,445,426,11,256,01.07.19
13,Lignite,18,17,45,0,0,3.07,01.07.19
14,Hydro,350,7,34,90,22,0,01.07.19
15,Nuclear,27,31,55,0,0,-7.6,01.07.19
0,DemandMetduringEveningPeakhrs(MW),60826,41432,35942,21193,2724,-7.6,01.07.20
1,PeakShortage(MW),722,0,0,99,123,27614,01.07.20
2,EnergyMet(MU),1460,1004,855,467,50,36282,01.07.20
3,HydroGen(MU),364,57,65,150,29,2829,01.07.20
4,WindGen(MU),13,55,149,-,-,81,01.07.20
5,SolarGen(MU),38.57,23.15,72.45,4.82,0.03,661,01.07.20
6,EnergyShortage(MU),11.2,0,0,0.4,1.5,129,01.07.20
0,Demand Met during Evening Peak hrs(MW),66604,46030,42100,21211,2704,188048,01.07.21
1,Peak Shortage (MW),720,0,0,0,10,128,01.07.21
2,Energy Met (MU),1607,1152,1055,457,50,4317,01.07.21
3,Hydro Gen (MU),350,43,117,131,27,406,01.07.21
4,Wind Gen (MU),67,202,97,-,-,265,01.07.21
5,Solar Gen (MU),49.16,35.25,78.53,4.71,0.11,284,01.07.21
6,Energy Shortage (MU),11.68,0.3,0,0,0.06,1.35,01.07.21
7,Schedule(MU),380,-322.6,92.8,-146.4,-3.8,0,01.07.21
8,Actual(MU),387.2,-325.3,99.6,-160.9,-6.6,24.3,01.07.21
9,O/D/U/D(MU),7.2,-2.8,6.8,-14.5,-2.8,24.3,01.07.21
10,Central,5123,18258,7572,1120,588,25725,01.07.21
11,State,7570,17933,7225,3385,11,26082,01.07.21
12,Coal,657,1132,541,518,11,3255,01.07.21
13,Lignite,29,10,53,0,0,82,01.07.21
14,Hydro,350,43,117,131,27,520,01.07.21
15,Nuclear,30,32,46,0,0,156,01.07.21
0,Demand Met during Evening Peak hrs(MW),60730,51702,42850,23382,3044,158021,01.07.22
1,Peak Shortage (MW),0,0,0,0,46,117,01.07.22
2,Energy Met (MU),1324,1237,1004,525,57,3477,01.07.22
3,Hydro Gen (MU),340,20,47,118,34,382,01.07.22
4,Wind Gen (MU),35,158,222,-,-,43,01.07.22
5,Solar Gen (MU),62.09,38.47,98.62,5.51,0.6,160,01.07.22
6,Energy Shortage (MU),3.02,0,0,0.66,0.65,0.9,01.07.22
7,Schedule(MU),247.7,-148,15.3,-106.2,-8.7,0,01.07.22
8,Actual(MU),227.1,-124.5,5.2,-95.4,-7.5,-6.2,01.07.22
9,O/D/U/D(MU),-20.5,23.5,-10.1,10.9,1.2,-6.2,01.07.22
10,Central,3612,13186,6198,2305,822,33737,01.07.22
11,State,8180,17031,7040,2712,295,49237,01.07.22
12,Coal,627,1131,491,541,13,2591,01.07.22
13,Lignite,28,12,65,0,0,64,01.07.22
14,Hydro,343,20,47,118,34,382,01.07.22
15,Nuclear,30,33,67,0,0,114,01.07.22
0,Demand Met during Evening Peak hrs(MW),67100,51690,46722,24407,3111,158851,01.07.23
1,Peak Shortage (MW),120,0,0,0,3,629,01.07.23
2,Energy Met (MU),1466,1200,1140,534,60,3425,01.07.23
3,Hydro Gen (MU),395,44,46,122,24,433,01.07.23
4,Wind Gen (MU),29,150,199,-,-,73,01.07.23
5,Solar Gen (MU),129.31,37.25,117.62,2.8,0.83,171,01.07.23
6,Energy Shortage (MU),0.54,0,0,1.48,1.1,5.1,01.07.23
7,Schedule(MU),298,-236,84,-149.1,3.1,0,01.07.23
8,Actual(MU),255.5,-239,111.5,-133.9,5.1,-6,01.07.23
9,O/D/U/D(MU),-42.5,-3,27.5,15.2,2,-6,01.07.23
10,Central,4720,13551,6978,2120,818,33714,01.07.23
11,State,8680,16563,5260,2150,241,46036,01.07.23
12,Coal,662,1238,612,597,14,2520,01.07.23
13,Lignite,28,12,56,0,0,75,01.07.23
14,Hydro,395,44,46,122,24,433,01.07.23
15,Nuclear,30,47,46,0,0,134,01.07.23
0,Demand Met during Evening Peak hrs(MW),53183,45769,41611,19801,2637,163407,01.08.18
1,Peak Shortage (MW),845,36,0,0,72,879,01.08.18
2,Energy Met (MU),1172,1059,992,418,50,3647,01.08.18
3,Hydro Gen (MU),356,24,106,79,26,429,01.08.18
4,Wind Gen (MU),44,138,207,----------,----------,70,01.08.18
5,Solar Gen (MU),14.76,16.3,45.54,0.5,0.02,229,01.08.18
6,Energy Shortage (MU),9.4,0.1,0,0,1.2,2.65,01.08.18
7,Schedule(MU),265.8,-237.6,55.8,-79.9,-2,0,01.08.18
8,Actual(MU),252.7,-242.5,55,-65,-1.7,-10.3,01.08.18
9,O/D/U/D(MU),-13.1,-4.8,-0.8,15,0.3,-10.3,01.08.18
10,Central,4947,15140,8472,1860,429,37617,01.08.18
11,State,12570,18145,8490,5945,50,35535,01.08.18
12,Thermal (Coal & Lignite),476,1066,465,420,5,2765,01.08.18
13,Hydro,356,24,108,79,25,103,01.08.18
14,Nuclear,27,29,63,0,0,430,01.08.18
15,"Gas, Naptha & Diesel",16,42,24,0,25,137,01.08.18
0,Demand Met during Evening Peak hrs(MW),56464,41534,40565,21837,2744,152528,01.08.19
1,Peak Shortage (MW),1333,0,0,0,180,54,01.08.19
2,Energy Met (MU),1294,938,923,461,51,3304,01.08.19
3,Hydro Gen (MU),319,20,52,126,27,281,01.08.19
4,Wind Gen (MU),15,164,176,----------,----------,83,01.08.19
5,Solar Gen (MU),22.56,10.03,75.28,2.09,0.03,154,01.08.19
6,Energy Shortage (MU),8.8,0,0,0,1.5,0.74,01.08.19
7,Schedule(MU),307.3,-313.7,44.5,-28.7,-9.1,0,01.08.19
8,Actual(MU),305.7,-324.4,50,-20.3,-8.4,-9.1,01.08.19
9,O/D/U/D(MU),-1.6,-10.7,5.5,8.4,0.7,-9.1,01.08.19
10,Central,4616,18465,8512,2530,82,37453,01.08.19
11,State,8590,19354,10160,5150,50,47365,01.08.19
12,Coal,555,998,419,370,12,2517,01.08.19
13,Lignite,20,12,46,0,0,59,01.08.19
14,Hydro,319,20,52,126,27,282,01.08.19
15,Nuclear,27,31,60,0,0,125,01.08.19
0,Demand Met during Evening Peak hrs(MW),58778,44942,36513,22670,2680,155245,01.08.20
1,Peak Shortage (MW),545,0,0,0,9,1640,01.08.20
2,Energy Met (MU),1301,1083,891,460,50,3354,01.08.20
3,Hydro Gen (MU),348,14,90,146,30,306,01.08.20
4,Wind Gen (MU),17,20,113,-,-,151,01.08.20
5,Solar Gen (MU),29.17,21.68,72.19,4.46,0.03,127,01.08.20
6,Energy Shortage (MU),10.5,0,0,0,0,15.56,01.08.20
7,Schedule(MU),302.5,-260.6,96.8,-132.8,-5.9,0,01.08.20
8,Actual(MU),306.4,-259.9,97.9,-147.3,-5.5,-4.3,01.08.20
9,O/D/U/D(MU),3.9,0.7,1.1,-14.5,0.5,-4.3,01.08.20
10,Central,5096,14757,11622,1045,640,39881,01.08.20
11,State,9384,20200,13190,5502,47,48585,01.08.20
12,Coal,537,1150,423,497,6,2554,01.08.20
13,Lignite,17,13,17,0,0,68,01.08.20
14,Hydro,348,14,90,146,30,306,01.08.20
15,Nuclear,21,33,24,0,0,125,01.08.20
0,Demand Met during Evening Peak hrs(MW),51234,43569,38256,21756,2809,166312,01.08.21
1,Peak Shortage (MW),1113,0,0,0,0,529,01.08.21
2,Energy Met (MU),1129,1013,968,459,53,3825,01.08.21
3,Hydro Gen (MU),369,24,157,137,32,314,01.08.21
4,Wind Gen (MU),47,251,217,-,-,129,01.08.21
5,Solar Gen (MU),37.36,16.69,87.97,4.35,0.15,244,01.08.21
6,Energy Shortage (MU),5.99,0,0,0,0,6.74,01.08.21
7,Schedule(MU),273.4,-210.1,23.8,-81.5,-5.6,0,01.08.21
8,Actual(MU),262.2,-198.9,22.5,-83.9,-7.4,-6,01.08.21
9,O/D/U/D(MU),-11.1,11.2,-1.3,-2.4,-1.8,-6,01.08.21
10,Central,8282,19443,10342,857,659,32000,01.08.21
11,State,16420,22965,11188,6205,47,30557,01.08.21
12,Coal,364,867,372,420,6,3021,01.08.21
13,Lignite,22,8,29,0,0,85,01.08.21
14,Hydro,369,24,157,137,32,315,01.08.21
15,Nuclear,26,33,42,0,0,105,01.08.21
0,Demand Met during Evening Peak hrs(MW),60058,54442,41648,25276,3063,158762,01.08.22
1,Peak Shortage (MW),555,0,0,335,0,699,01.08.22
2,Energy Met (MU),1309,1238,965,545,56,3549,01.08.22
3,Hydro Gen (MU),341,97,131,125,41,264,01.08.22
4,Wind Gen (MU),39,143,94,-,-,175,01.08.22
5,Solar Gen (MU),82.18,39.6,91.81,4.69,0.45,146,01.08.22
6,Energy Shortage (MU),3.02,0,0,1.6,0,12.25,01.08.22
7,Schedule(MU),169.6,-98.3,68.4,-122.2,-17.5,0,01.08.22
8,Actual(MU),142.5,-96.6,71.9,-102.6,-17.9,-9.9,01.08.22
9,O/D/U/D(MU),-27.2,1.7,3.5,19.6,-0.4,-9.9,01.08.22
10,Central,4262,15306,7638,1390,580,29083,01.08.22
11,State,8745,17541,9525,2280,99,44153,01.08.22
12,Coal,686,1028,454,547,10,2729,01.08.22
13,Lignite,30,10,60,0,0,68,01.08.22
14,Hydro,343,97,131,125,41,264,01.08.22
15,Nuclear,29,33,47,0,0,86,01.08.22
0,Demand Met during Evening Peak hrs(MW),75526,53919,48089,24819,3393,160178,01.08.23
1,Peak Shortage (MW),175,0,0,0,26,620,01.08.23
2,Energy Met (MU),1684,1257,1104,584,70,3483,01.08.23
3,Hydro Gen (MU),445,73,76,133,32,230,01.08.23
4,Wind Gen (MU),50,253,283,-,-,150,01.08.23
5,Solar Gen (MU),131.47,38.36,105.9,1.36,1.26,187,01.08.23
6,Energy Shortage (MU),0.66,0,0,0.39,0.6,8.65,01.08.23
7,Schedule(MU),323.5,-317.6,61.3,-66,-1.2,0,01.08.23
8,Actual(MU),300.4,-320.5,74.8,-56.5,1.6,-7.5,01.08.23
9,O/D/U/D(MU),-23.1,-2.9,13.6,9.5,2.8,-7.5,01.08.23
10,Central,3173,10739,5848,3385,271,30844,01.08.23
11,State,5900,16626,10038,3090,178,41623,01.08.23
12,Coal,752,1222,481,567,13,2686,01.08.23
13,Lignite,27,10,56,0,0,78,01.08.23
14,Hydro,445,73,76,133,32,230,01.08.23
15,Nuclear,29,50,64,0,0,127,01.08.23
0,Demand Met during Evening Peak hrs(MW),55210,44361,42618,21407,2669,177215,01.09.18
1,Peak Shortage (MW),609,0,0,270,231,2430,01.09.18
2,Energy Met (MU),1249,1017,952,447,53,4010,01.09.18
3,Hydro Gen (MU),350,42,208,117,24,266,01.09.18
4,Wind Gen (MU),52,105,135,----------,----------,89,01.09.18
5,Solar Gen (MU),18.56,10.5,51.97,0.53,0.03,279,01.09.18
6,Energy Shortage (MU),10,0,0,0.8,1.6,24.75,01.09.18
7,Schedule(MU),259.3,-272.5,41.4,-34.5,5.8,0,01.09.18
8,Actual(MU),250.9,-280.9,47.8,-28.2,7.9,-4.1,01.09.18
9,O/D/U/D(MU),-8.4,-8.5,6.4,6.4,2.1,-4.1,01.09.18
10,Central,4831,13860,11682,1120,530,27522,01.09.18
11,State,9095,18074,9823,7115,50,29443,01.09.18
12,Thermal (Coal & Lignite),542,1092,434,385,9,3388,01.09.18
13,Hydro,350,43,208,117,24,78,01.09.18
14,Nuclear,27,27,24,0,0,268,01.09.18
15,"Gas, Naptha & Diesel",22,33,23,0,16,134,01.09.18
0,Demand Met during Evening Peak hrs(MW),59556,45585,40406,23016,2873,171791,01.09.19
1,Peak Shortage (MW),2402,0,75,0,147,847,01.09.19
2,Energy Met (MU),1385,1053,951,482,54,3812,01.09.19
3,Hydro Gen (MU),363,100,91,134,18,262,01.09.19
4,Wind Gen (MU),7,46,176,----------,----------,102,01.09.19
5,Solar Gen (MU),24.75,18.6,56.4,1.88,0.03,184,01.09.19
6,Energy Shortage (MU),18.8,0,0.3,0,2.9,13.55,01.09.19
7,Schedule(MU),250.6,-257.6,36.4,-41.1,11.5,0,01.09.19
8,Actual(MU),266,-260.5,19.5,-38.3,12.6,-9.2,01.09.19
9,O/D/U/D(MU),15.4,-2.9,-16.9,2.7,1.1,-9.2,01.09.19
10,Central,3832,16692,8682,1400,766,30147,01.09.19
11,State,5305,17978,7950,6400,85,36355,01.09.19
12,Coal,637,1055,457,417,9,3031,01.09.19
13,Lignite,20,6,42,0,0,71,01.09.19
14,Hydro,363,100,91,134,18,262,01.09.19
15,Nuclear,27,31,56,0,0,87,01.09.19
0,Demand Met during Evening Peak hrs(MW),55477,42045,39002,22599,2841,178016,01.09.20
1,Peak Shortage (MW),0,0,0,289,114,1311,01.09.20
2,Energy Met (MU),1189,945,932,479,51,3904,01.09.20
3,Hydro Gen (MU),356,90,93,143,21,283,01.09.20
4,Wind Gen (MU),25,119,64,-,-,103,01.09.20
5,Solar Gen (MU),18.02,22.87,101.25,4.59,0.04,232,01.09.20
6,Energy Shortage (MU),0.1,0,0,0.9,4.7,13.64,01.09.20
7,Schedule(MU),286.5,-326.2,112.8,-75.9,2.8,0,01.09.20
8,Actual(MU),265.6,-345.1,136.6,-57.6,2.8,-5.8,01.09.20
9,O/D/U/D(MU),-20.9,-18.9,23.8,18.3,0,-5.8,01.09.20
10,Central,6099,17733,8712,3615,546,29707,01.09.20
11,State,11999,25779,12462,4065,11,39111,01.09.20
12,Coal,458,994,417,428,7,3074,01.09.20
13,Lignite,15,8,20,0,0,81,01.09.20
14,Hydro,356,90,93,143,21,283,01.09.20
15,Nuclear,27,33,69,0,0,119,01.09.20
0,Demand Met during Evening Peak hrs(MW),59172,49545,40769,23581,2971,178300,01.09.21
1,Peak Shortage (MW),200,0,0,477,0,654,01.09.21
2,Energy Met (MU),1326,1137,929,500,57,4070,01.09.21
3,Hydro Gen (MU),318,37,116,146,34,265,01.09.21
4,Wind Gen (MU),12,47,106,-,-,178,01.09.21
5,Solar Gen (MU),52.8,29.38,96.62,4.93,0.16,291,01.09.21
6,Energy Shortage (MU),3.45,0.39,0,5.41,0,4.47,01.09.21
7,Schedule(MU),288.5,-111.1,-29.5,-140.7,-7.2,0,01.09.21
8,Actual(MU),263.4,-97.5,-22.7,-138.3,-9.3,-3.1,01.09.21
9,O/D/U/D(MU),-25.1,13.7,6.8,2.4,-2.2,-3.1,01.09.21
10,Central,5294,16458,8172,2115,444,30747,01.09.21
11,State,8290,18996,6465,3815,11,30258,01.09.21
12,Coal,598,1063,521,515,12,3359,01.09.21
13,Lignite,22,12,39,0,0,115,01.09.21
14,Hydro,318,37,116,145,34,265,01.09.21
15,Nuclear,26,20,41,0,0,139,01.09.21
0,Demand Met during Evening Peak hrs(MW),64407,53875,40363,25295,3160,173109,01.09.22
1,Peak Shortage (MW),2479,184,0,1693,0,618,01.09.22
2,Energy Met (MU),1604,1225,934,566,60,3949,01.09.22
3,Hydro Gen (MU),376,107,181,149,33,302,01.09.22
4,Wind Gen (MU),22,28,27,-,-,86,01.09.22
5,Solar Gen (MU),119.86,35.01,140.53,5.19,0.49,205,01.09.22
6,Energy Shortage (MU),17.6,0.87,0,16.61,0,11.95,01.09.22
7,Schedule(MU),309.7,-161.3,-24.8,-112.9,-10.7,0,01.09.22
8,Actual(MU),306.7,-164.9,-28.5,-107,-12.2,-5.6,01.09.22
9,O/D/U/D(MU),-2.9,-3.6,-3.7,5.9,-1.6,-5.6,01.09.22
10,Central,3522,10871,5798,2530,309,30217,01.09.22
11,State,9495,17946,7322,4690,162,37310,01.09.22
12,Coal,769,1204,557,551,17,3105,01.09.22
13,Lignite,31,5,53,0,0,73,01.09.22
14,Hydro,378,107,181,149,33,302,01.09.22
15,Nuclear,32,40,47,0,0,91,01.09.22
0,Demand Met during Evening Peak hrs(MW),72187,64813,47304,25488,3162,175932,01.09.23
1,Peak Shortage (MW),3577,4655,400,1644,469,605,01.09.23
2,Energy Met (MU),1717,1595,1224,616,66,4014,01.09.23
3,Hydro Gen (MU),365,102,112,140,40,300,01.09.23
4,Wind Gen (MU),25,47,54,-,-,167,01.09.23
5,Solar Gen (MU),140.4,59.95,117.92,2.5,0.96,253,01.09.23
6,Energy Shortage (MU),56,39.45,6.3,17.84,4.69,5.87,01.09.23
7,Schedule(MU),290.3,-284.8,128.6,-121,-13.1,0,01.09.23
8,Actual(MU),250.3,-268.8,137.9,-115.9,-11.6,-5.2,01.09.23
9,O/D/U/D(MU),-40,16.1,9.3,5.1,1.4,-5.2,01.09.23
10,Central,1761,7219,5508,2560,255,30178,01.09.23
11,State,5105,8526,4518,3580,157,38957,01.09.23
12,Coal,908,1613,743,658,17,3056,01.09.23
13,Lignite,24,13,44,0,0,72,01.09.23
14,Hydro,365,102,112,140,40,300,01.09.23
15,Nuclear,29,54,48,0,0,136,01.09.23
0,Demand Met during Evening Peak hrs(MW),47097,50120,40038,20778,2553,184798,01.10.18
1,Peak Shortage (MW),486,0,0,935,117,3321,01.10.18
2,Energy Met (MU),1022,1205,916,472,46,4370,01.10.18
3,Hydro Gen (MU),257,52,98,106,23,281,01.10.18
4,Wind Gen (MU),8,17,16,----------,----------,190,01.10.18
5,Solar Gen (MU),21.82,21.38,58.53,1.01,0.02,319,01.10.18
6,Energy Shortage (MU),9.8,2.3,0,-2.9,1.8,17.05,01.10.18
7,Schedule(MU),82.6,-147.1,67.9,-3.5,-0.5,0,01.10.18
8,Actual(MU),53.3,-163.1,77.7,25.3,-0.8,-4.4,01.10.18
9,O/D/U/D(MU),-29.4,-16,9.8,28.8,-0.3,-4.4,01.10.18
10,Central,3587,15697,6152,2260,415,30491,01.10.18
11,State,7525,13723,6610,6475,50,27065,01.10.18
12,Thermal (Coal & Lignite),625,1178,584,344,4,3583,01.10.18
13,Hydro,257,52,98,106,23,110,01.10.18
14,Nuclear,23,27,29,0,0,281,01.10.18
15,"Gas, Naptha & Diesel",38,73,24,0,24,127,01.10.18
0,Demand Met during Evening Peak hrs(MW),45496,42852,37630,18165,2392,118678,01.10.19
1,Peak Shortage (MW),1713,0,0,0,179,1066,01.10.19
2,Energy Met (MU),929,944,860,354,44,2731,01.10.19
3,Hydro Gen (MU),276,103,168,132,24,332,01.10.19
4,Wind Gen (MU),4,58,14,----------,----------,89,01.10.19
5,Solar Gen (MU),28.02,14.35,78.89,1.79,0.03,170,01.10.19
6,Energy Shortage (MU),14.4,0,0,0,5.1,11,01.10.19
7,Schedule(MU),240.6,-214.3,39.8,-58.4,-6.7,-1.4,01.10.19
8,Actual(MU),211.8,-222.2,84.2,-65.8,-8.5,-7,01.10.19
9,O/D/U/D(MU),-28.7,-7.9,44.4,-7.4,-1.8,-5.6,01.10.19
10,Central,4061,15330,8332,4665,382,39648,01.10.19
11,State,14666,24689,9773,7630,11,71018,01.10.19
12,Coal,340,884,388,296,8,1799,01.10.19
13,Lignite,17,12,43,0,0,85,01.10.19
14,Hydro,276,103,168,132,24,332,01.10.19
15,Nuclear,23,29,60,0,0,115,01.10.19
0,Demand Met during Evening Peak hrs(MW),58732,48015,35868,21300,2933,177435,01.10.20
1,Peak Shortage (MW),0,0,0,0,9,467,01.10.20
2,Energy Met (MU),1268,1117,806,468,56,4050,01.10.20
