,Category,NR,WR,SR,ER,NER,Total,Date,TOTAL
0,Demand Met during Evening Peak hrs(MW),42504,55102,47759,20026,2437,,01.04.23,167828
1,Peak Shortage (MW),0,0,0,0,23,,01.04.23,23
2,Energy Met (MU),892,1326,1261,411,45,,01.04.23,3935
3,Hydro Gen (MU),116,20,61,27,7,,01.04.23,232
4,Wind Gen (MU),15,90,40,-,-,,01.04.23,145
5,Solar Gen (MU),135.90,65.60,127.37,3.55,0.25,,01.04.23,333
6,Energy Shortage (MU),1.73,0.00,0.00,0.42,1.10,,01.04.23,3.25
7,Schedule(MU),77.5,-159.9,255.6,-170.6,-2.5,,01.04.23,0.0
8,Actual(MU),48.8,-144.4,277.4,-187.7,1.9,,01.04.23,-4.1
9,O/D/U/D(MU),-28.7,15.5,21.8,-17.1,4.4,,01.04.23,-4.1
10,Central,5607,13631,3028,980,425,,01.04.23,23671
11,State,12960,12318,3691,2500,297,,01.04.23,31766
12,Coal,553,1339,659,654,11,,01.04.23,3216
13,Lignite,27,21,70,0,0,,01.04.23,118
14,Hydro,116,20,61,27,7,,01.04.23,232
15,Nuclear,31,34,74,0,0,,01.04.23,139
0,Demand Met during Evening Peak hrs(MW),42496,50421,39946,20660,2567,,01.05.23,156090
1,Peak Shortage (MW),0,0,0,0,53,,01.05.23,53
2,Energy Met (MU),979,1198,926,453,49,,01.05.23,3605
3,Hydro Gen (MU),181,18,51,55,15,,01.05.23,319
4,Wind Gen (MU),5,50,30,-,-,,01.05.23,86
5,Solar Gen (MU),124.84,54.80,103.93,4.53,1.17,,01.05.23,289
6,Energy Shortage (MU),0.51,0.00,0.00,0.33,1.19,,01.05.23,2.03
7,Schedule(MU),167.1,-143.2,77.2,-99.4,-1.7,,01.05.23,0.0
8,Actual(MU),141.6,-126.3,93.8,-113.0,-0.4,,01.05.23,-4.3
9,O/D/U/D(MU),-25.5,17.0,16.5,-13.6,1.3,,01.05.23,-4.3
10,Central,7857,10831,4458,2080,425,,01.05.23,25651
11,State,12640,14040,5304,1460,241,,01.05.23,33684
12,Coal,514,1245,575,592,11,,01.05.23,2937
13,Lignite,24,22,43,0,0,,01.05.23,89
14,Hydro,181,18,51,55,15,,01.05.23,319
15,Nuclear,29,32,69,0,0,,01.05.23,130
0,Demand Met during Evening Peak hrs(MW),56004,60964,48237,26609,3307,,01.06.23,195121
1,Peak Shortage (MW),0,0,0,625,60,,01.06.23,685
2,Energy Met (MU),1170,1455,1160,607,66,,01.06.23,4458
3,Hydro Gen (MU),252,45,57,70,10,,01.06.23,434
4,Wind Gen (MU),18,173,123,-,-,,01.06.23,313
5,Solar Gen (MU),113.80,56.32,119.72,2.98,1.18,,01.06.23,294
6,Energy Shortage (MU),0.10,1.30,0.00,6.26,1.39,,01.06.23,9.05
7,Schedule(MU),122.5,-202.8,93.0,-31.8,19.1,,01.06.23,0.0
8,Actual(MU),81.6,-192.2,121.0,-33.3,22.1,,01.06.23,-0.9
9,O/D/U/D(MU),-40.9,10.6,28.0,-1.5,3.0,,01.06.23,-0.8
10,Central,3297,10591,5828,2250,434,,01.06.23,22400
11,State,6405,14696,3879,2360,265,,01.06.23,27604
12,Coal,716,1439,704,649,14,,01.06.23,3522
13,Lignite,19,13,40,0,0,,01.06.23,72
14,Hydro,252,45,57,70,10,,01.06.23,434
15,Nuclear,30,36,45,0,0,,01.06.23,111
0,Demand Met during Evening Peak hrs(MW),67100,51690,46722,24407,3111,,01.07.23,193030
1,Peak Shortage (MW),120,0,0,0,3,,01.07.23,123
2,Energy Met (MU),1466,1200,1140,534,60,,01.07.23,4400
3,Hydro Gen (MU),395,44,46,122,24,,01.07.23,632
4,Wind Gen (MU),29,150,199,-,-,,01.07.23,378
5,Solar Gen (MU),129.31,37.25,117.62,2.80,0.83,,01.07.23,288
6,Energy Shortage (MU),0.54,0.00,0.00,1.48,1.10,,01.07.23,3.12
7,Schedule(MU),298.0,-236.0,84.0,-149.1,3.1,,01.07.23,0.0
8,Actual(MU),255.5,-239.0,111.5,-133.9,5.1,,01.07.23,-0.8
9,O/D/U/D(MU),-42.5,-3.0,27.5,15.2,2.0,,01.07.23,-0.8
10,Central,4720,13551,6978,2120,818,,01.07.23,28187
11,State,8680,16563,5260,2150,241,,01.07.23,32893
12,Coal,662,1238,612,597,14,,01.07.23,3122
13,Lignite,28,12,56,0,0,,01.07.23,97
14,Hydro,395,44,46,122,24,,01.07.23,632
15,Nuclear,30,47,46,0,0,,01.07.23,123
0,Demand Met during Evening Peak hrs(MW),75526,53919,48089,24819,3393,,01.08.23,205746
1,Peak Shortage (MW),175,0,0,0,26,,01.08.23,201
2,Energy Met (MU),1684,1257,1104,584,70,,01.08.23,4700
3,Hydro Gen (MU),445,73,76,133,32,,01.08.23,759
4,Wind Gen (MU),50,253,283,-,-,,01.08.23,587
5,Solar Gen (MU),131.47,38.36,105.90,1.36,1.26,,01.08.23,278
6,Energy Shortage (MU),0.66,0.00,0.00,0.39,0.60,,01.08.23,1.65
7,Schedule(MU),323.5,-317.6,61.3,-66.0,-1.2,,01.08.23,0.0
8,Actual(MU),300.4,-320.5,74.8,-56.5,1.6,,01.08.23,-0.1
9,O/D/U/D(MU),-23.1,-2.9,13.6,9.5,2.8,,01.08.23,-0.1
10,Central,3173,10739,5848,3385,271,,01.08.23,23416
11,State,5900,16626,10038,3090,178,,01.08.23,35831
12,Coal,752,1222,481,567,13,,01.08.23,3035
13,Lignite,27,10,56,0,0,,01.08.23,93
14,Hydro,445,73,76,133,32,,01.08.23,759
15,Nuclear,29,50,64,0,0,,01.08.23,143
0,Demand Met during Evening Peak hrs(MW),72187,64813,47304,25488,3162,,01.09.23,212954
1,Peak Shortage (MW),3577,4655,400,1644,469,,01.09.23,10745
2,Energy Met (MU),1717,1595,1224,616,66,,01.09.23,5219
3,Hydro Gen (MU),365,102,112,140,40,,01.09.23,758
4,Wind Gen (MU),25,47,54,-,-,,01.09.23,125
5,Solar Gen (MU),140.40,59.95,117.92,2.50,0.96,,01.09.23,322
6,Energy Shortage (MU),56.00,39.45,6.30,17.84,4.69,,01.09.23,124.28
7,Schedule(MU),290.3,-284.8,128.6,-121.0,-13.1,,01.09.23,0.0
8,Actual(MU),250.3,-268.8,137.9,-115.9,-11.6,,01.09.23,-8.1
9,O/D/U/D(MU),-40.0,16.1,9.3,5.1,1.4,,01.09.23,-8.1
10,Central,1761,7219,5508,2560,255,,01.09.23,17302
11,State,5105,8526,4518,3580,157,,01.09.23,21885
12,Coal,908,1613,743,658,17,,01.09.23,3938
13,Lignite,24,13,44,0,0,,01.09.23,80
14,Hydro,365,102,112,140,40,,01.09.23,758
15,Nuclear,29,54,48,0,0,,01.09.23,131
0,Demand Met during Evening Peak hrs(MW),64342,56337,41049,22966,3354,,01.10.23,188048
1,Peak Shortage (MW),128,0,0,0,0,,01.10.23,128
2,Energy Met (MU),1415,1297,1041,501,62,,01.10.23,4317
3,Hydro Gen (MU),104,125,53,99,24,,01.10.23,406
4,Wind Gen (MU),11,62,192,-,-,,01.10.23,265
5,Solar Gen (MU),120.98,59.13,98.59,4.94,0.84,,01.10.23,284
6,Energy Shortage (MU),0.72,0.00,0.00,0.58,0.05,,01.10.23,1.35
7,Schedule(MU),313.0,-224.6,55.2,-144.0,1.0,,01.10.23,0.0
8,Actual(MU),327.8,-198.9,62.4,-172.0,5.0,,01.10.23,24.3
9,O/D/U/D(MU),14.8,-25.6,7.2,-28.0,4.1,,01.10.23,24.3
10,Central,4409,12174,7768,870,505,,01.10.23,25725
11,State,5611,10477,6762,3090,142,,01.10.23,26082
12,Coal,699,1336,575,631,13,,01.10.23,3255
13,Lignite,29,16,36,0,0,,01.10.23,82
14,Hydro,217,125,53,99,24,,01.10.23,520
15,Nuclear,27,54,76,0,0,,01.10.23,156
0,Demand Met during Evening Peak hrs(MW),42813,54661,44519,20946,2230,,02.04.23,165169
1,Peak Shortage (MW),16,0,0,101,33,,02.04.23,150
2,Energy Met (MU),886,1326,1187,434,40,,02.04.23,3874
3,Hydro Gen (MU),119,19,58,29,11,,02.04.23,235
4,Wind Gen (MU),35,80,47,-,-,,02.04.23,162
5,Solar Gen (MU),139.92,67.75,128.45,3.31,0.71,,02.04.23,340
6,Energy Shortage (MU),1.23,0.49,0.00,0.45,1.13,,02.04.23,3.30
7,Schedule(MU),53.2,-137.3,231.9,-138.9,-8.9,,02.04.23,0.0
8,Actual(MU),19.2,-109.7,242.4,-150.0,-7.5,,02.04.23,-5.6
9,O/D/U/D(MU),-34.0,27.5,10.5,-11.0,1.4,,02.04.23,-5.6
10,Central,5477,13271,3528,1175,425,,02.04.23,23876
11,State,12960,11916,5283,2710,333,,02.04.23,33201
12,Coal,543,1312,621,643,11,,02.04.23,3131
13,Lignite,26,21,68,0,0,,02.04.23,115
14,Hydro,119,19,58,29,11,,02.04.23,235
15,Nuclear,30,34,71,0,0,,02.04.23,135
0,Demand Met during Evening Peak hrs(MW),46199,53187,44384,22647,2571,,02.05.23,168988
1,Peak Shortage (MW),0,0,0,231,66,,02.05.23,297
2,Energy Met (MU),991,1236,959,472,50,,02.05.23,3707
3,Hydro Gen (MU),194,17,67,58,15,,02.05.23,350
4,Wind Gen (MU),8,63,29,-,-,,02.05.23,99
5,Solar Gen (MU),129.04,56.51,96.83,5.18,1.20,,02.05.23,289
6,Energy Shortage (MU),1.47,0.00,0.00,0.76,1.49,,02.05.23,3.72
7,Schedule(MU),149.6,-148.1,94.7,-95.7,-0.4,,02.05.23,0.0
8,Actual(MU),134.0,-128.3,97.4,-106.4,-0.6,,02.05.23,-3.9
9,O/D/U/D(MU),-15.5,19.9,2.6,-10.6,-0.2,,02.05.23,-3.9
10,Central,7847,11896,5458,2140,425,,02.05.23,27766
11,State,13800,14200,5514,1460,241,,02.05.23,35214
12,Coal,503,1272,587,601,12,,02.05.23,2976
13,Lignite,27,21,49,0,0,,02.05.23,96
14,Hydro,194,17,67,58,15,,02.05.23,350
15,Nuclear,30,34,69,0,0,,02.05.23,133
0,Demand Met during Evening Peak hrs(MW),58492,61911,49101,26162,3326,,02.06.23,198992
1,Peak Shortage (MW),330,0,0,709,114,,02.06.23,1153
2,Energy Met (MU),1231,1476,1178,610,64,,02.06.23,4560
3,Hydro Gen (MU),253,50,64,75,10,,02.06.23,452
4,Wind Gen (MU),11,175,132,-,-,,02.06.23,318
5,Solar Gen (MU),128.72,61.74,119.75,5.66,1.23,,02.06.23,317
6,Energy Shortage (MU),1.54,1.07,0.00,11.86,2.17,,02.06.23,16.64
7,Schedule(MU),129.7,-219.1,96.6,-25.6,18.4,,02.06.23,0.0
8,Actual(MU),90.8,-202.4,113.9,-29.3,21.3,,02.06.23,-5.6
9,O/D/U/D(MU),-38.9,16.8,17.3,-3.7,2.9,,02.06.23,-5.6
10,Central,3729,9716,5118,1590,797,,02.06.23,20950
11,State,7010,14571,3819,2700,265,,02.06.23,28364
12,Coal,759,1451,701,641,16,,02.06.23,3569
13,Lignite,19,16,44,0,0,,02.06.23,79
14,Hydro,253,50,64,75,10,,02.06.23,452
15,Nuclear,30,37,45,0,0,,02.06.23,112
0,Demand Met during Evening Peak hrs(MW),67317,52503,42599,24630,3086,,02.07.23,190135
1,Peak Shortage (MW),885,0,0,0,0,,02.07.23,885
2,Energy Met (MU),1472,1207,1073,547,58,,02.07.23,4357
3,Hydro Gen (MU),402,45,40,132,23,,02.07.23,641
4,Wind Gen (MU),29,88,209,-,-,,02.07.23,325
5,Solar Gen (MU),136.43,48.26,100.21,2.63,0.68,,02.07.23,288
6,Energy Shortage (MU),5.11,0.00,0.00,0.51,1.08,,02.07.23,6.70
0,Demand Met during Evening Peak hrs(MW),72418,52200,49037,23402,3241,,02.08.23,200298
1,Peak Shortage (MW),0,0,0,0,21,,02.08.23,21
2,Energy Met (MU),1678,1230,1127,504,68,,02.08.23,4607
3,Hydro Gen (MU),442,79,75,116,30,,02.08.23,743
4,Wind Gen (MU),64,270,276,-,-,,02.08.23,611
5,Solar Gen (MU),116.68,32.41,100.63,1.06,1.01,,02.08.23,252
6,Energy Shortage (MU),0.83,0.00,0.00,0.65,0.46,,02.08.23,1.94
7,Schedule(MU),333.8,-312.5,74.1,-96.1,0.6,,02.08.23,0.0
8,Actual(MU),321.3,-335.0,98.8,-92.7,3.3,,02.08.23,-4.3
9,O/D/U/D(MU),-12.5,-22.5,24.7,3.4,2.7,,02.08.23,-4.3
10,Central,3072,12191,5248,3385,271,,02.08.23,24167
11,State,6150,17298,9718,3690,179,,02.08.23,37035
12,Coal,721,1177,498,552,13,,02.08.23,2960
13,Lignite,27,10,52,0,0,,02.08.23,89
14,Hydro,442,79,75,116,30,,02.08.23,743
15,Nuclear,29,50,64,0,0,,02.08.23,143
0,Demand Met during Evening Peak hrs(MW),59602,58555,43735,23549,3397,,02.10.23,188838
1,Peak Shortage (MW),165,0,0,567,0,,02.10.23,732
2,Energy Met (MU),1335,1305,1039,501,64,,02.10.23,4245
3,Hydro Gen (MU),213,72,63,113,23,,02.10.23,486
4,Wind Gen (MU),4,62,158,-,-,,02.10.23,225
5,Solar Gen (MU),131.70,60.60,95.14,1.69,1.05,,02.10.23,290
6,Energy Shortage (MU),1.98,0.00,0.00,1.50,0.00,,02.10.23,3.48
7,Schedule(MU),144.0,-193.8,70.0,-153.2,1.4,,02.10.23,-131.7
8,Actual(MU),258.6,-207.4,90.2,-157.7,6.2,,02.10.23,-10.1
9,O/D/U/D(MU),114.6,-13.5,20.2,-4.5,4.8,,02.10.23,121.6
10,Central,4659,10374,7768,1470,505,,02.10.23,24775
11,State,5651,9942,6642,3690,121,,02.10.23,26046
12,Coal,670,1325,565,609,13,,02.10.23,3181
13,Lignite,29,20,38,0,0,,02.10.23,87
14,Hydro,213,72,63,113,23,,02.10.23,486
15,Nuclear,22,54,76,0,0,,02.10.23,152
0,Demand Met during Evening Peak hrs(MW),45698,57981,48215,22045,2424,,03.04.23,176363
1,Peak Shortage (MW),0,0,0,767,69,,03.04.23,836
2,Energy Met (MU),944,1394,1253,465,41,,03.04.23,4097
3,Hydro Gen (MU),121,35,74,35,11,,03.04.23,276
4,Wind Gen (MU),49,108,32,-,-,,03.04.23,189
5,Solar Gen (MU),133.83,67.34,127.44,2.03,0.63,,03.04.23,331
6,Energy Shortage (MU),1.79,0.00,0.00,2.76,1.42,,03.04.23,5.97
7,Schedule(MU),72.2,-166.6,256.4,-153.5,-8.5,,03.04.23,0.0
8,Actual(MU),44.6,-153.3,270.6,-161.6,-7.7,,03.04.23,-7.5
9,O/D/U/D(MU),-27.6,13.3,14.2,-8.1,0.7,,03.04.23,-7.5
10,Central,6037,13521,3028,1175,534,,03.04.23,24294
11,State,13455,12626,5011,2110,333,,03.04.23,33534
12,Coal,566,1379,654,680,13,,03.04.23,3293
13,Lignite,25,21,72,0,0,,03.04.23,118
14,Hydro,121,35,74,35,11,,03.04.23,276
15,Nuclear,30,34,70,0,0,,03.04.23,134
0,Demand Met during Evening Peak hrs(MW),44121,54140,44703,22418,2693,,03.05.23,168075
1,Peak Shortage (MW),0,0,0,199,57,,03.05.23,256
2,Energy Met (MU),1004,1246,1001,502,51,,03.05.23,3804
3,Hydro Gen (MU),203,18,68,44,12,,03.05.23,344
4,Wind Gen (MU),5,59,41,-,-,,03.05.23,105
5,Solar Gen (MU),136.73,55.36,104.36,2.96,0.90,,03.05.23,300
6,Energy Shortage (MU),0.17,0.00,0.00,2.42,1.40,,03.05.23,3.99
7,Schedule(MU),143.8,-142.2,96.5,-97.9,-0.2,,03.05.23,0.0
8,Actual(MU),124.5,-125.7,97.5,-103.1,1.6,,03.05.23,-5.2
9,O/D/U/D(MU),-19.3,16.5,1.0,-5.2,1.8,,03.05.23,-5.2
10,Central,8027,13156,4958,2640,460,,03.05.23,29241
11,State,13820,15320,4734,1460,241,,03.05.23,35574
12,Coal,520,1268,611,644,14,,03.05.23,3057
13,Lignite,23,19,52,0,0,,03.05.23,94
14,Hydro,203,18,68,44,12,,03.05.23,344
15,Nuclear,30,36,62,0,0,,03.05.23,128
0,Demand Met during Evening Peak hrs(MW),58946,60818,49518,26252,3416,,03.06.23,198950
1,Peak Shortage (MW),100,0,0,363,69,,03.06.23,532
2,Energy Met (MU),1294,1486,1203,613,66,,03.06.23,4663
3,Hydro Gen (MU),243,57,67,73,9,,03.06.23,449
4,Wind Gen (MU),16,135,130,-,-,,03.06.23,281
5,Solar Gen (MU),129.37,61.61,125.01,5.70,1.26,,03.06.23,323
6,Energy Shortage (MU),1.63,2.30,0.00,5.47,1.56,,03.06.23,10.96
7,Schedule(MU),151.2,-225.2,93.9,-40.7,20.8,,03.06.23,0.0
8,Actual(MU),112.7,-204.8,111.8,-46.3,22.3,,03.06.23,-4.2
9,O/D/U/D(MU),-38.5,20.4,17.9,-5.6,1.5,,03.06.23,-4.2
10,Central,3729,8922,5718,520,797,,03.06.23,19686
11,State,6160,14061,4079,2700,265,,03.06.23,27264
12,Coal,802,1499,732,664,17,,03.06.23,3713
13,Lignite,21,17,45,0,0,,03.06.23,83
14,Hydro,243,57,67,73,9,,03.06.23,449
15,Nuclear,30,37,46,0,0,,03.06.23,112
0,Demand Met during Evening Peak hrs(MW),68529,56468,44321,25347,3155,,03.07.23,197820
1,Peak Shortage (MW),2401,411,0,305,36,,03.07.23,3153
2,Energy Met (MU),1594,1291,1098,557,59,,03.07.23,4599
3,Hydro Gen (MU),399,54,50,128,26,,03.07.23,658
4,Wind Gen (MU),26,61,227,-,-,,03.07.23,313
5,Solar Gen (MU),140.68,51.77,100.48,2.29,0.90,,03.07.23,296
6,Energy Shortage (MU),16.89,2.61,0.00,1.93,1.04,,03.07.23,22.47
7,Schedule(MU),325.7,-215.9,38.6,-147.8,-0.6,,03.07.23,0.0
8,Actual(MU),299.4,-202.5,47.6,-148.5,0.0,,03.07.23,-3.9
9,O/D/U/D(MU),-26.3,13.5,9.0,-0.7,0.6,,03.07.23,-3.9
10,Central,2313,10694,7478,2020,848,,03.07.23,23353
11,State,9540,15194,5098,2060,241,,03.07.23,32132
12,Coal,739,1378,615,645,16,,03.07.23,3392
13,Lignite,27,11,56,0,0,,03.07.23,94
14,Hydro,399,54,50,128,26,,03.07.23,658
15,Nuclear,29,47,46,0,0,,03.07.23,122
0,Demand Met during Evening Peak hrs(MW),74152,51272,48882,25738,3360,,03.08.23,203404
1,Peak Shortage (MW),190,0,0,279,14,,03.08.23,483
2,Energy Met (MU),1640,1197,1147,558,65,,03.08.23,4607
3,Hydro Gen (MU),439,87,79,138,33,,03.08.23,776
4,Wind Gen (MU),44,252,275,-,-,,03.08.23,571
5,Solar Gen (MU),115.04,28.06,101.05,1.49,0.81,,03.08.23,246
6,Energy Shortage (MU),1.10,0.00,0.00,1.00,0.32,,03.08.23,2.42
7,Schedule(MU),334.7,-330.9,88.9,-88.6,-4.0,,03.08.23,0.0
8,Actual(MU),317.9,-325.9,102.9,-93.7,-4.1,,03.08.23,-2.8
9,O/D/U/D(MU),-16.8,5.1,14.1,-5.1,-0.1,,03.08.23,-2.8
10,Central,3639,12791,5248,2885,271,,03.08.23,24834
11,State,4690,16331,9293,3490,189,,03.08.23,33992
12,Coal,727,1178,511,575,13,,03.08.23,3004
13,Lignite,27,11,55,0,0,,03.08.23,92
14,Hydro,439,87,79,138,33,,03.08.23,776
15,Nuclear,29,50,65,0,0,,03.08.23,144
0,Demand Met during Evening Peak hrs(MW),74994,62732,41525,25324,3276,,03.09.23,207851
1,Peak Shortage (MW),75,457,0,0,212,,03.09.23,744
2,Energy Met (MU),1777,1576,1029,578,66,,03.09.23,5026
3,Hydro Gen (MU),378,94,54,108,37,,03.09.23,670
4,Wind Gen (MU),51,83,136,-,-,,03.09.23,269
5,Solar Gen (MU),144.33,54.65,93.11,2.16,1.31,,03.09.23,296
6,Energy Shortage (MU),10.70,7.18,0.00,5.21,2.68,,03.09.23,25.83
7,Schedule(MU),338.4,-242.2,21.2,-111.0,-6.5,,03.09.23,0.0
8,Actual(MU),325.0,-231.9,17.4,-111.0,-5.2,,03.09.23,-5.6
9,O/D/U/D(MU),-13.4,10.3,-3.8,0.0,1.3,,03.09.23,-5.6
10,Central,2924,7875,5408,2470,230,,03.09.23,18907
11,State,4755,8633,4568,3104,256,,03.09.23,21315
12,Coal,863,1569,656,641,13,,03.09.23,3743
13,Lignite,30,11,58,0,0,,03.09.23,99
14,Hydro,378,94,54,108,37,,03.09.23,670
15,Nuclear,29,54,46,0,0,,03.09.23,129
0,Demand Met during Evening Peak hrs(MW),62644,61052,48612,22976,3374,,03.10.23,198658
1,Peak Shortage (MW),170,0,0,265,160,,03.10.23,595
2,Energy Met (MU),1347,1359,1156,502,63,,03.10.23,4426
3,Hydro Gen (MU),209,59,79,127,26,,03.10.23,500
4,Wind Gen (MU),10,56,118,-,-,,03.10.23,184
5,Solar Gen (MU),140.12,62.21,114.74,1.73,0.94,,03.10.23,320
6,Energy Shortage (MU),3.42,0.00,0.00,2.06,0.36,,03.10.23,5.84
7,Schedule(MU),122.7,-236.4,113.1,-99.8,-0.5,,03.10.23,-100.9
8,Actual(MU),250.0,-238.4,161.8,-184.0,1.2,,03.10.23,-9.3
9,O/D/U/D(MU),127.4,-1.9,48.7,-84.2,1.7,,03.10.23,91.6
10,Central,4659,10889,7838,870,505,,03.10.23,24760
11,State,6546,10607,5902,3500,129,,03.10.23,26684
12,Coal,738,1442,609,619,14,,03.10.23,3423
13,Lignite,32,19,38,0,0,,03.10.23,90
14,Hydro,209,59,79,127,26,,03.10.23,500
15,Nuclear,25,53,71,0,0,,03.10.23,149
0,Demand Met during Evening Peak hrs(MW),46974,59000,47566,23214,2398,,04.04.23,179152
1,Peak Shortage (MW),0,0,0,229,69,,04.04.23,298
2,Energy Met (MU),960,1423,1252,501,45,,04.04.23,4181
3,Hydro Gen (MU),126,43,70,41,11,,04.04.23,291
4,Wind Gen (MU),13,90,29,-,-,,04.04.23,132
5,Solar Gen (MU),140.40,64.86,117.53,2.57,0.60,,04.04.23,326
6,Energy Shortage (MU),1.84,0.00,0.00,2.06,1.54,,04.04.23,5.44
7,Schedule(MU),76.4,-160.1,235.5,-145.6,-6.2,,04.04.23,0.0
8,Actual(MU),57.0,-145.4,244.6,-158.1,-6.1,,04.04.23,-8.0
9,O/D/U/D(MU),-19.4,14.7,9.1,-12.5,0.1,,04.04.23,-8.0
10,Central,5537,12261,3238,1175,534,,04.04.23,22744
11,State,12295,11966,3651,1490,341,,04.04.23,29742
12,Coal,609,1410,698,706,16,,04.04.23,3437
13,Lignite,24,22,71,0,0,,04.04.23,117
14,Hydro,126,43,70,41,11,,04.04.23,291
15,Nuclear,30,34,70,0,0,,04.04.23,134
0,Demand Met during Evening Peak hrs(MW),49776,54968,45230,22769,2718,,04.05.23,175461
1,Peak Shortage (MW),0,0,0,523,43,,04.05.23,566
2,Energy Met (MU),1019,1267,1024,492,49,,04.05.23,3851
3,Hydro Gen (MU),207,19,74,42,11,,04.05.23,352
4,Wind Gen (MU),14,55,27,-,-,,04.05.23,96
5,Solar Gen (MU),134.94,60.13,110.89,2.81,0.70,,04.05.23,309
6,Energy Shortage (MU),0.00,0.40,0.00,2.27,1.38,,04.05.23,4.05
7,Schedule(MU),154.9,-143.6,89.5,-103.6,2.9,,04.05.23,0.0
8,Actual(MU),126.9,-116.0,91.6,-110.9,5.3,,04.05.23,-3.1
9,O/D/U/D(MU),-28.0,27.6,2.1,-7.3,2.4,,04.05.23,-3.1
10,Central,7847,11500,5958,2640,823,,04.05.23,28769
11,State,11395,14760,4854,1190,285,,04.05.23,32483
12,Coal,527,1297,646,642,14,,04.05.23,3127
13,Lignite,22,11,51,0,0,,04.05.23,83
14,Hydro,207,19,74,42,11,,04.05.23,352
15,Nuclear,29,36,60,0,0,,04.05.23,126
0,Demand Met during Evening Peak hrs(MW),56141,54626,42722,25633,3214,,04.06.23,182336
1,Peak Shortage (MW),0,0,0,0,37,,04.06.23,37
2,Energy Met (MU),1223,1340,1111,600,61,,04.06.23,4335
3,Hydro Gen (MU),226,33,61,59,9,,04.06.23,388
4,Wind Gen (MU),25,139,155,-,-,,04.06.23,319
5,Solar Gen (MU),138.08,59.34,84.01,3.10,1.21,,04.06.23,286
6,Energy Shortage (MU),0.96,0.00,0.00,1.37,1.53,,04.06.23,3.86
7,Schedule(MU),162.1,-233.4,81.5,-28.3,18.1,,04.06.23,0.0
8,Actual(MU),120.2,-237.0,105.7,-12.8,21.6,,04.06.23,-2.4
9,O/D/U/D(MU),-41.9,-3.7,24.2,15.5,3.5,,04.06.23,-2.4
10,Central,3479,9742,5618,270,797,,04.06.23,19906
11,State,7405,13853,4579,2450,338,,04.06.23,28624
12,Coal,723,1394,662,634,14,,04.06.23,3427
13,Lignite,19,17,46,0,0,,04.06.23,81
14,Hydro,226,33,61,59,9,,04.06.23,388
15,Nuclear,30,36,46,0,0,,04.06.23,112
0,Demand Met during Evening Peak hrs(MW),71334,56732,43853,25477,3115,,04.07.23,200511
1,Peak Shortage (MW),315,0,0,0,28,,04.07.23,343
2,Energy Met (MU),1631,1338,1079,576,63,,04.07.23,4686
3,Hydro Gen (MU),397,45,50,132,28,,04.07.23,651
4,Wind Gen (MU),45,72,248,-,-,,04.07.23,364
5,Solar Gen (MU),135.44,50.18,92.20,2.74,1.09,,04.07.23,282
6,Energy Shortage (MU),4.33,0.00,0.00,0.89,0.59,,04.07.23,5.81
7,Schedule(MU),330.0,-219.3,21.9,-132.8,0.1,,04.07.23,0.0
8,Actual(MU),302.4,-218.6,48.2,-134.4,2.5,,04.07.23,0.2
9,O/D/U/D(MU),-27.6,0.7,26.3,-1.6,2.4,,04.07.23,0.2
10,Central,3329,10356,7618,2220,818,,04.07.23,24341
11,State,7450,13685,6523,2310,261,,04.07.23,30229
12,Coal,754,1428,612,642,15,,04.07.23,3451
13,Lignite,27,12,51,0,0,,04.07.23,90
14,Hydro,397,45,50,133,28,,04.07.23,651
15,Nuclear,29,47,46,0,0,,04.07.23,122
0,Demand Met during Evening Peak hrs(MW),71206,52969,49962,26468,3220,,04.08.23,203825
1,Peak Shortage (MW),243,0,0,116,16,,04.08.23,375
2,Energy Met (MU),1605,1215,1186,588,64,,04.08.23,4659
3,Hydro Gen (MU),437,96,94,136,33,,04.08.23,795
4,Wind Gen (MU),31,191,235,-,-,,04.08.23,457
5,Solar Gen (MU),119.16,33.94,115.01,2.01,0.85,,04.08.23,271
6,Energy Shortage (MU),1.07,0.00,0.00,1.46,0.42,,04.08.23,2.95
7,Schedule(MU),314.9,-329.7,110.0,-89.1,-6.1,,04.08.23,0.0
8,Actual(MU),290.8,-326.2,130.6,-92.8,-5.8,,04.08.23,-3.4
9,O/D/U/D(MU),-24.1,3.5,20.6,-3.7,0.3,,04.08.23,-3.4
10,Central,3072,12624,5918,2885,271,,04.08.23,24771
11,State,6210,15671,9043,2830,119,,04.08.23,33872
12,Coal,734,1233,529,609,14,,04.08.23,3119
13,Lignite,25,11,57,0,0,,04.08.23,92
14,Hydro,437,96,94,136,33,,04.08.23,795
15,Nuclear,29,50,66,0,0,,04.08.23,146
0,Demand Met during Evening Peak hrs(MW),76274,64984,44155,25155,3424,,04.09.23,213992
1,Peak Shortage (MW),769,98,0,414,201,,04.09.23,1482
2,Energy Met (MU),1796,1574,1037,550,71,,04.09.23,5029
3,Hydro Gen (MU),361,87,53,121,34,,04.09.23,655
4,Wind Gen (MU),30,106,228,-,-,,04.09.23,364
5,Solar Gen (MU),141.54,55.76,62.38,1.73,1.29,,04.09.23,263
6,Energy Shortage (MU),5.42,2.75,0.00,1.13,0.67,,04.09.23,9.97
7,Schedule(MU),419.0,-253.0,-20.8,-141.4,-3.9,,04.09.23,-0.1
